"Consumer confidence index (CCI)"
"Amplitude adjusted, Long-term average = 100"
"Category","OECD"
"1997-05-01 00:00:00",101.2596
"1997-06-01 00:00:00",101.4145
"1997-07-01 00:00:00",101.52
"1997-08-01 00:00:00",101.5458
"1997-09-01 00:00:00",101.5326
"1997-10-01 00:00:00",101.477
"1997-11-01 00:00:00",101.4253
"1997-12-01 00:00:00",101.3851
"1998-01-01 00:00:00",101.4396
"1998-02-01 00:00:00",101.5246
"1998-03-01 00:00:00",101.5615
"1998-04-01 00:00:00",101.5708
"1998-05-01 00:00:00",101.5346
"1998-06-01 00:00:00",101.4703
"1998-07-01 00:00:00",101.4156
"1998-08-01 00:00:00",101.3459
"1998-09-01 00:00:00",101.2897
"1998-10-01 00:00:00",101.297
"1998-11-01 00:00:00",101.4043
"1998-12-01 00:00:00",101.5176
"1999-01-01 00:00:00",101.6715
"1999-02-01 00:00:00",101.7711
"1999-03-01 00:00:00",101.7605
"1999-04-01 00:00:00",101.7306
"1999-05-01 00:00:00",101.7487
"1999-06-01 00:00:00",101.7943
"1999-07-01 00:00:00",101.8316
"1999-08-01 00:00:00",101.8739
"1999-09-01 00:00:00",101.9407
"1999-10-01 00:00:00",102.0158
"1999-11-01 00:00:00",102.1176
"1999-12-01 00:00:00",102.2256
"2000-01-01 00:00:00",102.3403
"2000-02-01 00:00:00",102.3501
"2000-03-01 00:00:00",102.3002
"2000-04-01 00:00:00",102.2806
"2000-05-01 00:00:00",102.2727
"2000-06-01 00:00:00",102.24
"2000-07-01 00:00:00",102.2333
"2000-08-01 00:00:00",102.1742
"2000-09-01 00:00:00",102.0449
"2000-10-01 00:00:00",101.948
"2000-11-01 00:00:00",101.8163
"2000-12-01 00:00:00",101.606
"2001-01-01 00:00:00",101.4004
"2001-02-01 00:00:00",101.2314
"2001-03-01 00:00:00",101.1347
"2001-04-01 00:00:00",101.0697
"2001-05-01 00:00:00",101.0246
"2001-06-01 00:00:00",100.983
"2001-07-01 00:00:00",100.8913
"2001-08-01 00:00:00",100.6953
"2001-09-01 00:00:00",100.435
"2001-10-01 00:00:00",100.3091
"2001-11-01 00:00:00",100.3668
"2001-12-01 00:00:00",100.5518
"2002-01-01 00:00:00",100.7214
"2002-02-01 00:00:00",100.8482
"2002-03-01 00:00:00",100.9558
"2002-04-01 00:00:00",100.9849
"2002-05-01 00:00:00",100.9733
"2002-06-01 00:00:00",100.8588
"2002-07-01 00:00:00",100.704
"2002-08-01 00:00:00",100.5537
"2002-09-01 00:00:00",100.4066
"2002-10-01 00:00:00",100.2461
"2002-11-01 00:00:00",100.1321
"2002-12-01 00:00:00",99.98833
"2003-01-01 00:00:00",99.78726
"2003-02-01 00:00:00",99.61472
"2003-03-01 00:00:00",99.605
"2003-04-01 00:00:00",99.85039
"2003-05-01 00:00:00",100.1251
"2003-06-01 00:00:00",100.2925
"2003-07-01 00:00:00",100.3611
"2003-08-01 00:00:00",100.3534
"2003-09-01 00:00:00",100.3595
"2003-10-01 00:00:00",100.4297
"2003-11-01 00:00:00",100.5609
"2003-12-01 00:00:00",100.7001
"2004-01-01 00:00:00",100.8439
"2004-02-01 00:00:00",100.8309
"2004-03-01 00:00:00",100.7873
"2004-04-01 00:00:00",100.7484
"2004-05-01 00:00:00",100.7273
"2004-06-01 00:00:00",100.7712
"2004-07-01 00:00:00",100.8276
"2004-08-01 00:00:00",100.8281
"2004-09-01 00:00:00",100.8022
"2004-10-01 00:00:00",100.8045
"2004-11-01 00:00:00",100.8583
"2004-12-01 00:00:00",100.9531
"2005-01-01 00:00:00",101.0297
"2005-02-01 00:00:00",101.0099
"2005-03-01 00:00:00",100.8766
"2005-04-01 00:00:00",100.7308
"2005-05-01 00:00:00",100.6743
"2005-06-01 00:00:00",100.714
"2005-07-01 00:00:00",100.6765
"2005-08-01 00:00:00",100.471
"2005-09-01 00:00:00",100.2231
"2005-10-01 00:00:00",100.2028
"2005-11-01 00:00:00",100.4297
"2005-12-01 00:00:00",100.7502
"2006-01-01 00:00:00",100.973
"2006-02-01 00:00:00",101.0199
"2006-03-01 00:00:00",100.981
"2006-04-01 00:00:00",100.8767
"2006-05-01 00:00:00",100.7063
"2006-06-01 00:00:00",100.6139
"2006-07-01 00:00:00",100.5879
"2006-08-01 00:00:00",100.6142
"2006-09-01 00:00:00",100.7567
"2006-10-01 00:00:00",100.9608
"2006-11-01 00:00:00",101.0735
"2006-12-01 00:00:00",101.1276
"2007-01-01 00:00:00",101.1367
"2007-02-01 00:00:00",101.0742
"2007-03-01 00:00:00",100.995
"2007-04-01 00:00:00",100.9722
"2007-05-01 00:00:00",100.991
"2007-06-01 00:00:00",100.9655
"2007-07-01 00:00:00",100.9205
"2007-08-01 00:00:00",100.7663
"2007-09-01 00:00:00",100.5677
"2007-10-01 00:00:00",100.3269
"2007-11-01 00:00:00",100.0503
"2007-12-01 00:00:00",99.83848
"2008-01-01 00:00:00",99.62064
"2008-02-01 00:00:00",99.31079
"2008-03-01 00:00:00",98.93796
"2008-04-01 00:00:00",98.47877
"2008-05-01 00:00:00",98.02797
"2008-06-01 00:00:00",97.67515
"2008-07-01 00:00:00",97.56521
"2008-08-01 00:00:00",97.64646
"2008-09-01 00:00:00",97.65712
"2008-10-01 00:00:00",97.38829
"2008-11-01 00:00:00",97.14152
"2008-12-01 00:00:00",97.0053
"2009-01-01 00:00:00",96.94335
"2009-02-01 00:00:00",96.95395
"2009-03-01 00:00:00",97.18362
"2009-04-01 00:00:00",97.64639
"2009-05-01 00:00:00",98.10754
"2009-06-01 00:00:00",98.45203
"2009-07-01 00:00:00",98.67484
"2009-08-01 00:00:00",98.88251
"2009-09-01 00:00:00",99.10322
"2009-10-01 00:00:00",99.20154
"2009-11-01 00:00:00",99.22929
"2009-12-01 00:00:00",99.29057
"2010-01-01 00:00:00",99.3609
"2010-02-01 00:00:00",99.37879
"2010-03-01 00:00:00",99.37676
"2010-04-01 00:00:00",99.35514
"2010-05-01 00:00:00",99.30553
"2010-06-01 00:00:00",99.25909
"2010-07-01 00:00:00",99.20962
"2010-08-01 00:00:00",99.22558
"2010-09-01 00:00:00",99.2502
"2010-10-01 00:00:00",99.29295
"2010-11-01 00:00:00",99.3733
"2010-12-01 00:00:00",99.40849
"2011-01-01 00:00:00",99.36987
"2011-02-01 00:00:00",99.26157
"2011-03-01 00:00:00",99.03362
"2011-04-01 00:00:00",98.90227
"2011-05-01 00:00:00",98.89468
"2011-06-01 00:00:00",98.81083
"2011-07-01 00:00:00",98.57451
"2011-08-01 00:00:00",98.29449
"2011-09-01 00:00:00",98.18349
"2011-10-01 00:00:00",98.19834
"2011-11-01 00:00:00",98.33154
"2011-12-01 00:00:00",98.51941
"2012-01-01 00:00:00",98.72913
"2012-02-01 00:00:00",98.8783
"2012-03-01 00:00:00",98.9463
"2012-04-01 00:00:00",98.94723
"2012-05-01 00:00:00",98.91451
"2012-06-01 00:00:00",98.82057
"2012-07-01 00:00:00",98.76771
"2012-08-01 00:00:00",98.76625
"2012-09-01 00:00:00",98.8081
"2012-10-01 00:00:00",98.86749
"2012-11-01 00:00:00",98.87522
"2012-12-01 00:00:00",98.82653
"2013-01-01 00:00:00",98.89527
"2013-02-01 00:00:00",99.01422
"2013-03-01 00:00:00",99.12502
"2013-04-01 00:00:00",99.23299
"2013-05-01 00:00:00",99.38017
"2013-06-01 00:00:00",99.50925
"2013-07-01 00:00:00",99.61319
"2013-08-01 00:00:00",99.62494
"2013-09-01 00:00:00",99.5701
"2013-10-01 00:00:00",99.49629
"2013-11-01 00:00:00",99.52267
"2013-12-01 00:00:00",99.6077
"2014-01-01 00:00:00",99.66212
"2014-02-01 00:00:00",99.70972
"2014-03-01 00:00:00",99.79803
"2014-04-01 00:00:00",99.90849
"2014-05-01 00:00:00",99.96263
"2014-06-01 00:00:00",99.9752
"2014-07-01 00:00:00",99.95143
"2014-08-01 00:00:00",99.93145
"2014-09-01 00:00:00",99.94174
"2014-10-01 00:00:00",99.99503
"2014-11-01 00:00:00",100.1027
"2014-12-01 00:00:00",100.2897
"2015-01-01 00:00:00",100.4967
"2015-02-01 00:00:00",100.6337
"2015-03-01 00:00:00",100.6935
"2015-04-01 00:00:00",100.6914
"2015-05-01 00:00:00",100.6253
"2015-06-01 00:00:00",100.5739
"2015-07-01 00:00:00",100.465
"2015-08-01 00:00:00",100.3759
"2015-09-01 00:00:00",100.3471
"2015-10-01 00:00:00",100.4527
"2015-11-01 00:00:00",100.5878
"2015-12-01 00:00:00",100.633
"2016-01-01 00:00:00",100.5652
"2016-02-01 00:00:00",100.457
"2016-03-01 00:00:00",100.3939
"2016-04-01 00:00:00",100.3982
"2016-05-01 00:00:00",100.451
"2016-06-01 00:00:00",100.4403
"2016-07-01 00:00:00",100.3606
"2016-08-01 00:00:00",100.3434
"2016-09-01 00:00:00",100.3775
"2016-10-01 00:00:00",100.4137
"2016-11-01 00:00:00",100.484
"2016-12-01 00:00:00",100.5401
"2017-01-01 00:00:00",100.5348
"2017-02-01 00:00:00",100.5598
"2017-03-01 00:00:00",100.6604
"2017-04-01 00:00:00",100.7687
"2017-05-01 00:00:00",100.84
"2017-06-01 00:00:00",100.8645
"2017-07-01 00:00:00",100.8962
"2017-08-01 00:00:00",100.9595
"2017-09-01 00:00:00",101.0345
"2017-10-01 00:00:00",101.1226
"2017-11-01 00:00:00",101.1467
"2017-12-01 00:00:00",101.1377
"2018-01-01 00:00:00",101.1371
"2018-02-01 00:00:00",101.1548
"2018-03-01 00:00:00",101.1638
"2018-04-01 00:00:00",101.1511
"2018-05-01 00:00:00",101.1455
"2018-06-01 00:00:00",101.1607
"2018-07-01 00:00:00",101.1829
"2018-08-01 00:00:00",101.1366
"2018-09-01 00:00:00",101.066
"2018-10-01 00:00:00",100.9734
"2018-11-01 00:00:00",100.8661
"2018-12-01 00:00:00",100.7878
"2019-01-01 00:00:00",100.76
"2019-02-01 00:00:00",100.8269
"2019-03-01 00:00:00",100.9069
"2019-04-01 00:00:00",100.9217
"2019-05-01 00:00:00",100.8895
"2019-06-01 00:00:00",100.7937
"2019-07-01 00:00:00",100.6653
"2019-08-01 00:00:00",100.5149
"2019-09-01 00:00:00",100.4944
"2019-10-01 00:00:00",100.5671
"2019-11-01 00:00:00",100.7077
"2019-12-01 00:00:00",100.8088
"2020-01-01 00:00:00",100.737
"2020-02-01 00:00:00",100.2484
"2020-03-01 00:00:00",99.203
"2020-04-01 00:00:00",98.08869
"2020-05-01 00:00:00",97.74179
"2020-06-01 00:00:00",97.94641
"2020-07-01 00:00:00",98.22287
"2020-08-01 00:00:00",98.47684
"2020-09-01 00:00:00",98.69292
"2020-10-01 00:00:00",98.77399
"2020-11-01 00:00:00",98.78541
"2020-12-01 00:00:00",98.89891
"2021-01-01 00:00:00",99.03822
"2021-02-01 00:00:00",99.31461
"2021-03-01 00:00:00",99.72405
"2021-04-01 00:00:00",100.0496
"2021-05-01 00:00:00",100.2954
"2021-06-01 00:00:00",100.4478
"2021-07-01 00:00:00",100.3484
"2021-08-01 00:00:00",100.1099
"2021-09-01 00:00:00",99.94754
"2021-10-01 00:00:00",99.7654
"2021-11-01 00:00:00",99.53822
"2021-12-01 00:00:00",99.29742
"2022-01-01 00:00:00",98.96212
